"cell_id","cluster"
"X675358","4"
"X211471","4"
"X126216","1"
"X659611","3"
"X508221","4"
"X252199","4"
"X209070","2"
"X781932","4"
"X687341","4"
"X514664","2"
"X747910","4"
"X847003","4"
"X498496","4"
"X534552","3"
"X154733","4"
"X759710","2"
"X308850","3"
"X233698","3"
"X196712","3"
"X754063","4"
"X610136","1"
"X729631","4"
"X406995","4"
"X119170","3"
"X337750","4"
"X132368","4"
"X215378","4"
"X108484","1"
"X270965","3"
"X72765","4"
"X243542","4"
"X301866","3"
"X620787","3"
"X7571","3"
"X246920","4"
"X255353","4"
"X111216","4"
"X852478","4"
"X596439","4"
"X205650","1"
"X530577","4"
"X490412","4"
"X175066","4"
"X188777","1"
"X819388","4"
"X624184","3"
"X611814","4"
"X61207","4"
"X196750","4"
"X830879","4"
"X556835","3"
"X150580","4"
"X67392","3"
"X883373","3"
"X876415","1"
"X245857","4"
"X13216","4"
"X321631","4"
"X69544","1"
"X257634","4"
"X778104","4"
"X809181","3"
"X312998","3"
"X777034","3"
"X96652","3"
"X871635","4"
"X180725","3"
"X180967","2"
"X831262","4"
"X591777","3"
"X58493","4"
"X681051","3"
"X55355","4"
"X369226","3"
"X489201","3"
"X812592","2"
"X579294","4"
"X267788","4"
"X346320","4"
"X368240","4"
"X161536","3"
"X476517","4"
"X160719","4"
"X475668","4"
"X608866","4"
"X228667","2"
"X83609","4"
"X324623","3"
"X576616","1"
"X603935","3"
"X388847","4"
"X288799","4"
"X873881","4"
"X498689","1"
"X135013","3"
"X134510","4"
"X72349","4"
"X83246","3"
"X130643","4"
"X67520","4"
"X596644","3"
"X121104","3"
"X312409","4"
"X780316","1"
"X140791","4"
"X759113","4"
"X843931","4"
"X671197","2"
"X509167","4"
"X592660","4"
"X295939","4"
"X487659","1"
"X114763","3"
"X650395","3"
"X620357","3"
"X531398","4"
"X78210","3"
"X402499","3"
"X783355","1"
"X336673","4"
"X584433","4"
"X289039","3"
"X18919","3"
"X880680","4"
"X798249","4"
"X884407","3"
"X74357","3"
"X409174","4"
"X426714","4"
"X57086","4"
"X405160","1"
"X70313","4"
"X533773","1"
"X746883","4"
"X769324","1"
"X608463","3"
"X676890","2"
"X370320","3"
"X864540","4"
"X789799","3"
"X331982","4"
"X430992","4"
"X610496","4"
"X143718","4"
"X285250","4"
"X67175","3"
"X486884","4"
"X303346","4"
"X713974","2"
"X72567","4"
"X40818","4"
"X786070","3"
"X69192","4"
"X469790","2"
"X245222","4"
"X382484","4"
"X830512","3"
"X505417","4"
"X880014","4"
"X129679","2"
"X128877","4"
"X740499","4"
"X528875","4"
"X272871","4"
"X724023","4"
"X409850","1"
"X697960","1"
"X407974","3"
"X751122","4"
"X458864","3"
"X195671","4"
"X9206","4"
"X840787","4"
"X127066","4"
"X250036","4"
"X722625","3"
"X34370","4"
"X772030","4"
"X416482","4"
"X877211","4"
"X729978","4"
"X822684","4"
"X222047","4"
"X73563","3"
"X132690","4"
"X688360","2"
"X110851","4"
"X601103","3"
"X338786","1"
"X235215","3"
"X312506","4"
"X421234","3"
"X235046","3"
"X421944","3"
"X438988","3"
"X416661","4"
"X312101","1"
"X259484","4"
"X858321","4"
"X438943","4"
"X761876","4"
"X368333","4"
"X673185","4"
"X308113","3"
"X295504","4"
"X435470","4"
"X602732","3"
"X648875","4"
"X214286","4"
"X448541","4"
"X67962","3"
"X390042","4"
"X882374","1"
"X148552","2"
"X241476","4"
"X160161","3"
"X711654","3"
"X656219","4"
"X846152","4"
"X380881","2"
"X655805","4"
"X177251","4"
