Cell name	Sample name	Stage	CD4 T cell subsets	Cell_type	Clusters PMN	Myeloid cells cluster	Expressed genes	Mitochondrial reads percent	Ribosomal reads percent	Total count
451711	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1836	0.65820000000000001	0.75950000000000006	3950
254277	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1641	0.45659999999999995	0.59189999999999998	5913
657505	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1893	1.8536000000000001	0.50970000000000004	4316
69952	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1695	0.19439999999999999	0.53459999999999996	4115
26693	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1633	0.65170000000000006	0.87840000000000007	3529
867044	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1703	0.72230000000000005	0.69340000000000002	3461
808381	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1571	1.3154000000000001	0.74739999999999995	3345
624847	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1585	1.3558999999999999	0.76270000000000004	3540
851649	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1636	0.32629999999999998	0.42669999999999997	3984
629154	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1668	1.7001999999999999	0.22669999999999998	3529
264261	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1546	0.89390000000000003	0.72630000000000006	3580
276298	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1790	0.93059999999999998	0.42300000000000004	3546
729720	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1640	1.4503999999999999	0.75209999999999999	3723
730315	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1312	2.5423999999999998	1.0986	3186
471063	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1380	2.2707999999999999	0.89710000000000001	3567
314963	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1595	1.1416999999999999	0.84889999999999999	3416
221822	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1613	1.3367	1.0185	3142
246861	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1619	1.0306	0.66689999999999994	3299
755446	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1659	1.7971000000000001	0.28989999999999999	3450
620607	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1498	1.1186	0.8536999999999999	3397
576938	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1542	1.9286999999999999	0.70130000000000003	3422
20774	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1477	1.8905000000000001	0.91260000000000008	3068
154558	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1632	1.3187	0.86979999999999991	3564
52203	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1384	0.996	0.96279999999999999	3012
257700	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1608	0.94599999999999995	0.88500000000000001	3277
795061	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1479	2.6464000000000003	0.56309999999999993	3552
749509	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1297	0.74269999999999992	0.77980000000000005	2693
46444	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1471	1.8868	0.94340000000000002	3498
374585	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1303	2.3217000000000003	0.84119999999999995	2972
116787	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1527	0.71789999999999998	0.86750000000000005	3343
182898	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1662	0.56269999999999998	0.61629999999999996	3732
512587	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1563	0.99799999999999989	0.93149999999999999	3006
468657	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1277	0.87939999999999996	0.75380000000000003	3184
427143	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1569	0.70350000000000001	0.70350000000000001	2985
804231	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1351	2.7429999999999999	0.57569999999999999	2953
13663	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1501	1.0605	0.68620000000000003	3206
574730	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1549	1.2253000000000001	0.64669999999999994	2938
512981	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1533	0.59799999999999998	0.53160000000000007	3010
192563	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1538	1.5660000000000001	0.70309999999999995	3129
543123	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1455	1.1147	0.6472	2781
48604	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1583	1.2161999999999999	0.57769999999999999	3289
183794	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1365	1.2248999999999999	1.2930000000000001	2939
267519	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1298	1.3582000000000001	1.3194000000000001	2577
105845	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1453	0.78029999999999999	0.78029999999999999	3332
852142	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1531	1.2009000000000001	0.4869	3081
89812	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1355	0.9749000000000001	1.2534999999999998	2872
306197	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1447	1.5093000000000001	0.73709999999999998	2849
216738	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1325	1.4639	0.62739999999999996	2869
50847	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1378	0.93389999999999995	1.1069	2891
333132	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1436	0.79080000000000006	0.43130000000000002	2782
463689	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1430	2.3437999999999999	0.52080000000000004	3072
48316	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1259	1.1954	1.0929	2928
212750	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1501	0.8357	0.67500000000000004	3111
698036	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1571	1.073	0.32789999999999997	3355
162389	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1470	1.7306999999999999	0.65770000000000006	2889
20060	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1346	2.6480999999999999	0.66200000000000003	2870
846211	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1373	0.61780000000000002	1.2355	2590
576224	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1429	2.1848000000000001	0.67910000000000004	3387
414507	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1427	1.5589	0.6633	3015
463698	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1256	1.8017999999999998	0.74419999999999997	2553
53046	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1316	1.2828999999999999	0.82240000000000002	3040
