Cell name	Sample name	Condition	Stage	General_classification	PMN clusters	Expressed genes	Mitochondrial reads percent	Ribosomal reads percent	Total count
678178	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1940	0.62129999999999996	0.1208	11589
4109	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1961	0.30769999999999997	0.023099999999999999	12999
538456	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1622	0.87680000000000002	0.10660000000000001	8440
651365	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1957	0.54100000000000004	0.23670000000000002	8872
704471	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1970	0.47089999999999999	0.21820000000000001	8707
246581	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1916	0.50790000000000002	0.1651	7876
628506	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1676	0.83129999999999993	0.15029999999999999	11307
127597	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1871	0.33829999999999999	0.32479999999999998	7390
663760	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1849	0.48719999999999997	0.21789999999999998	7800
71129	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1644	1.0062	0.091499999999999998	9839
760868	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1771	0.40629999999999999	0.1129	8860
270424	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1751	0.443	0.1477	7450
747308	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1891	0.27390000000000003	0.1245	8033
535144	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1810	0.55279999999999996	0.29020000000000001	7236
16467	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1739	0.75570000000000004	0.12130000000000001	10719
625348	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1653	1.248	0.10120000000000001	11859
407189	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1925	0.31080000000000002	0.16839999999999999	7722
490973	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1879	0.37380000000000002	0.14679999999999999	7491
648112	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1688	0.90760000000000007	0.074899999999999994	10687
570362	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1964	0.28560000000000002	0.14280000000000001	7702
836252	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1724	0.65620000000000001	0.23089999999999999	8229
720807	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1776	0.5464	0.19870000000000002	8053
730026	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1759	0.52280000000000004	0.1255	9564
143435	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1688	0.95820000000000005	0.25359999999999999	7097
16725	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1895	0.58150000000000002	0.1789	8943
365696	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1767	0.77649999999999997	0.13420000000000001	10432
336547	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1656	0.40359999999999996	0.10679999999999999	8425
765807	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1803	0.68780000000000008	0.1719	8142
683224	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1822	0.39989999999999998	0.2069	7251
286571	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1777	0.4491	0.20279999999999998	6903
626284	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1946	0.51380000000000003	0.1484	8758
197690	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1708	0.62170000000000003	0.12429999999999999	8042
524803	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1891	0.66559999999999997	0.079100000000000004	15174
723350	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1767	0.86780000000000002	0.2049	8297
