"cell_id","cluster"
"X113107","1"
"X57891","1"
"X831530","1"
"X838984","1"
"X579233","1"
"X327001","1"
"X807245","1"
"X600908","1"
"X501615","2"
"X216049","1"
"X724074","1"
"X339850","2"
"X107977","1"
"X528667","1"
"X645702","2"
"X74023","1"
"X699326","2"
"X695724","1"
"X673734","1"
"X515907","1"
"X824904","1"
"X443511","2"
"X847570","2"
"X460806","1"
"X578040","1"
"X293975","1"
"X190201","2"
"X683366","1"
"X113138","2"
"X114195","1"
"X306307","2"
"X795864","2"
"X725827","2"
"X539645","1"
"X687528","1"
"X498023","1"
"X674741","1"
"X504851","3"
"X374240","1"
"X408267","1"
"X345824","1"
"X810266","2"
"X217962","1"
"X195243","1"
"X807066","2"
"X335851","1"
"X455019","2"
"X249217","1"
"X43966","1"
"X360891","1"
"X449744","1"
"X874573","2"
"X806344","2"
"X130837","1"
"X753784","1"
"X582573","1"
"X465844","2"
"X78819","1"
"X545386","2"
"X828195","2"
"X223017","1"
"X724624","2"
"X110035","2"
"X176240","1"
"X59279","2"
"X75425","2"
"X752602","1"
"X113982","2"
"X815391","1"
"X460913","1"
"X780140","1"
"X452580","1"
"X767096","1"
"X156183","1"
"X230603","2"
"X186097","2"
"X704708","2"
"X290022","2"
"X604164","1"
"X647319","1"
"X846838","2"
"X461581","1"
"X7054","1"
"X674739","1"
"X366432","2"
"X738678","2"
"X850868","2"
"X35930","2"
"X194438","1"
"X793778","2"
"X390223","1"
"X651681","1"
"X645475","2"
"X272974","1"
"X742121","2"
"X151478","1"
"X287226","1"
"X267349","2"
"X553764","1"
"X229709","1"
"X282792","1"
"X196959","1"
"X117949","1"
"X108094","2"
"X182681","3"
"X196371","1"
"X839368","1"
"X100282","1"
"X569166","3"
"X466972","1"
"X550724","1"
"X639762","1"
"X139891","2"
"X452140","1"
"X73985","2"
"X243563","1"
"X87266","1"
"X79902","1"
"X695816","1"
"X442545","1"
"X43343","1"
"X472780","2"
"X341204","1"
"X733240","1"
"X725952","1"
"X688261","2"
"X769006","1"
"X672055","2"
"X331725","2"
"X83509","1"
"X5745","2"
"X758964","1"
"X616771","1"
"X695666","1"
"X328047","1"
"X4791","1"
"X657300","1"
"X63746","2"
"X412197","1"
"X570588","1"
"X150507","1"
"X768372","1"
"X727743","3"
"X171768","1"
"X54457","2"
"X541029","1"
"X671976","1"
"X657181","1"
"X35997","1"
"X62046","1"
"X496409","1"
"X269059","1"
"X72227","1"
"X259181","1"
"X424400","1"
"X871829","2"
"X42654","1"
"X200784","2"
"X331082","2"
"X568970","1"
"X45540","1"
"X100178","1"
"X639922","1"
"X632624","1"
"X815719","1"
"X597404","2"
"X55465","1"
"X540287","1"
"X459068","1"
"X620970","2"
"X729196","1"
"X531192","1"
"X135098","1"
"X867378","1"
"X196910","1"
"X394853","1"
"X516825","1"
"X502016","1"
"X775850","1"
"X613159","3"
"X266782","3"
"X270185","1"
"X845763","1"
"X246700","1"
"X635386","2"
"X875029","2"
"X678378","1"
"X457883","1"
"X33542","1"
"X230085","2"
"X763497","3"
"X276119","1"
"X458578","1"
"X594930","1"
"X502834","1"
"X213410","1"
"X235041","2"
"X15991","1"
"X865002","3"
"X457559","1"
"X460979","1"
"X75307","1"
"X731670","3"
"X474834","1"
"X584944","1"
"X25135","1"
"X564216","2"
"X270167","1"
"X120661","1"
"X117284","1"
"X435928","1"
"X95213","1"
"X725204","1"
"X36988","1"
"X520939","2"
"X727074","1"
"X252724","1"
"X211747","2"
"X652918","1"
"X16011","1"
"X489653","2"
"X798741","1"
"X550035","1"
"X238486","1"
"X382670","1"
"X199675","1"
"X324629","1"
"X72314","2"
"X39309","1"
"X223662","1"
"X541361","2"
"X588418","1"
"X137967","1"
"X247956","2"
"X715413","1"
"X482820","1"
"X653597","1"
"X2856","1"
"X41114","1"
"X714366","2"
"X712403","1"
"X292910","2"
"X826279","1"
"X524444","1"
"X502557","1"
"X55258","1"
"X714431","1"
"X367271","1"
"X550506","1"
"X586177","2"
"X842499","1"
"X746934","1"
"X59424","1"
"X768202","2"
"X541193","1"
"X564443","2"
"X369836","1"
"X75256","1"
"X190970","2"
"X346618","2"
"X114424","2"
"X160025","1"
"X93004","3"
"X428916","1"
"X731678","1"
"X284335","2"
"X46367","1"
"X550437","1"
"X356428","3"
"X605506","2"
"X75227","2"
"X543495","1"
"X194453","1"
"X774780","1"
"X18667","1"
"X191270","1"
"X867600","1"
"X548299","1"
"X613905","1"
"X371538","1"
"X58610","1"
"X574630","1"
"X712855","1"
"X2315","1"
"X42880","1"
"X404331","2"
"X845353","1"
"X224447","1"
"X537308","1"
"X276047","2"
"X723135","1"
"X734322","1"
"X772969","2"
"X421911","1"
"X816241","1"
"X803312","1"
"X549377","1"
"X318054","2"
"X257692","2"
"X679840","1"
"X621977","1"
"X794082","1"
"X68913","1"
"X781354","1"
"X419892","1"
"X621013","1"
"X545711","1"
"X559188","1"
"X141578","1"
"X521488","1"
"X609732","1"
"X697320","1"
"X403452","1"
"X452809","2"
"X397289","1"
"X722605","2"
"X381261","2"
"X487971","1"
"X835767","1"
"X144055","1"
"X651087","1"
"X720444","1"
"X2992","1"
"X240670","1"
"X221799","1"
"X198331","1"
"X713687","1"
"X215607","1"
"X479145","2"
"X112678","1"
"X520106","2"
"X767682","1"
"X154441","1"
"X615490","1"
"X179969","1"
"X664128","1"
"X549264","1"
"X174729","1"
"X153215","1"
"X596322","1"
"X93329","2"
"X218467","1"
"X680583","1"
"X336657","1"
"X49476","1"
"X62249","1"
"X85226","2"
"X746217","2"
"X374699","1"
"X468559","1"
"X272075","2"
"X101402","1"
"X208393","1"
"X140453","1"
"X737698","1"
"X518337","1"
"X447943","1"
"X730476","1"
"X547124","1"
"X297367","1"
"X502381","1"
"X616730","1"
"X260418","1"
"X840546","1"
"X464752","1"
"X248581","1"
"X862323","1"
"X479489","1"
"X559963","1"
"X186993","1"
"X80916","2"
"X296218","2"
"X688961","1"
"X466024","1"
"X80328","1"
"X136204","1"
"X797674","1"
"X583659","2"
"X192138","2"
"X261969","2"
"X8988","1"
"X139601","1"
"X634985","1"
"X548734","1"
"X848561","1"
"X56835","1"
"X393130","1"
"X794579","1"
"X322313","1"
"X674830","1"
"X310298","1"
"X34132","2"
"X691917","1"
"X373963","2"
"X537642","1"
"X438913","1"
"X653231","1"
"X583092","1"
"X88347","1"
"X819532","2"
"X585293","2"
"X674369","1"
"X527843","1"
"X54798","1"
"X293210","1"
"X76727","1"
"X445020","1"
"X285657","1"
"X723123","1"
"X102841","1"
"X822978","1"
"X437782","1"
"X170063","1"
"X747473","1"
"X500104","1"
"X81909","1"
"X281643","1"
"X97480","1"
"X533554","1"
"X711651","1"
"X320074","1"
"X279773","1"
"X310934","1"
"X257415","1"
"X773472","1"
"X65659","1"
"X231889","1"
"X687997","2"
"X530773","1"
"X95522","1"
"X153660","1"
"X320844","1"
"X510535","1"
"X305400","1"
"X341369","1"
"X852606","1"
"X784601","1"
"X761715","1"
"X443685","2"
"X676131","2"
"X788343","1"
"X202753","1"
"X96494","1"
"X125285","1"
"X588039","1"
"X335826","1"
"X71259","2"
"X834906","1"
"X488668","2"
"X863342","1"
"X545539","1"
"X192092","1"
"X117125","1"
"X840109","1"
"X65435","2"
"X778738","1"
"X627683","1"
"X522632","1"
